name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
QSCAGR25,OSQP,optimal,0.060484886169433594,3875,201751418.1040958,201737940.0,500,971,2282,0,0.000359677,0.059571483,0.0,2,0.0009187415610943545
QSCAGR7,OSQP,optimal,0.013616323471069336,3125,26864462.072849516,26865949.0,140,269,602,0,0.000202611,0.012836419,0.0,2,0.0008603871534024508
QSCFXM1,OSQP,solver_error,2.370670795440674,100000,16880372.551189642,16882692.0,457,787,4456,0,0.000916136,2.369044548,0.0,6,0.0251471452646295
QSCFXM2,OSQP,solver_error,5.239355802536011,100000,27772604.573352642,27776162.0,914,1574,8285,0,0.001540063,5.236978842,0.0,6,0.030215476203876157
QSCFXM3,OSQP,optimal,5.5262627601623535,69850,30815263.329111528,30816355.0,1371,2361,11501,0,0.002185494,5.523294321,0.0,5,0.11308172596447619
QSCORPIO,OSQP,optimal,0.02036905288696289,1475,1880.2705590778676,1880.5096,358,746,1842,0,0.000377397,0.019391078,0.0,1,0.834856627653586
QSCRS8,OSQP,solver_error,3.684277057647705,100000,904.6043944758286,904.56001,1169,1659,4560,0,0.001006361,3.682483476,0.0,2,0.002961771575706287
QSCSD1,OSQP,optimal,0.008165121078491211,300,8.666529826208471,8.6666667,760,837,4584,0,0.000766053,0.006496739,0.0,1,0.5248120331125897
QSCSD6,OSQP,optimal,0.4353318214416504,10775,50.80821448102961,50.808214,1350,1497,8378,0,0.001900922,0.430269458,0.0,2,1.4457191118175023
QSCSD8,OSQP,optimal,0.11948585510253906,1475,940.6945499764498,940.76357,2750,3147,16214,0,0.002056991,0.116326794,0.0,0,0.3775162965733755
QSCTAP1,OSQP,optimal,0.20676398277282715,12500,1415.7512898146133,1415.8611,480,780,2442,0,0.000491873,0.205660675,0.0,1,0.03403918698736038
QSCTAP2,OSQP,optimal,0.11158394813537598,1400,1735.1154938389063,1735.0265,1880,2970,10007,0,0.002530142,0.10802633,0.0,0,0.11989671383408838
QSCTAP3,OSQP,optimal,0.1494152545928955,1350,1438.6978724460826,1438.7547,2480,3960,13262,0,0.003293593,0.145158453,0.0,0,0.10793462794068705
QSEBA,OSQP,optimal,1.9267404079437256,69950,81476872.44144137,81481801.0,1028,1543,6576,0,0.001089079,1.925000511,0.0,5,0.008993545865477707
QSHARE1B,OSQP,solver_error,0.809100866317749,100000,839854.565930024,720078.32,225,342,1436,0,0.000258334,0.808183099,0.0,71,7.748407685952061e-05
QSHARE2B,OSQP,optimal,0.03748488426208496,8500,11703.130363555834,11703.692,79,175,873,0,0.000145114,0.036772713,0.0,8,0.08416452871923069
QSHELL,OSQP,optimal,0.054888010025024414,225,1572703472822.8596,1572636800000.0,1775,2311,74506,0,0.007610679,0.043656767,0.0,1,0.006726495505630549
QSHIP04L,OSQP,optimal,0.047965049743652344,900,2419989.6806484596,2420015.5,2118,2520,8548,0,0.00232527,0.044986175,0.0,1,0.007866854454248503
QSHIP04S,OSQP,optimal,0.02658390998840332,700,2425181.9232431953,2424993.7,1458,1860,5908,0,0.001333313,0.024654917,0.0,1,0.012929791111407256
QSHIP08L,OSQP,optimal,0.13970613479614258,325,2375948.272913409,2376040.6,4283,5061,86075,0,0.018076739,0.118439845,0.0,0,0.027110182387528388
QSHIP08S,OSQP,optimal,0.0727841854095459,500,2385822.358306472,2385728.9,2387,3165,32317,0,0.004395468,0.066477271,0.0,1,0.01220710101135349
QSHIP12L,OSQP,optimal,0.6119859218597412,950,3018476.2745312033,3018876.6,5427,6578,144030,0,0.026401178,0.580246781,0.0,1,0.010152870923686887
QSHIP12S,OSQP,optimal,0.07533097267150879,450,3056835.2840512516,3056962.3,2763,3914,44705,0,0.004651325,0.068539025,0.0,0,0.058872277815070644
QSIERRA,OSQP,optimal,2.375373125076294,31100,23750367.183659147,23750458.0,2036,3263,9582,0,0.002150427,2.372461716,0.0,14,5.573030928916794e-06
QSTAIR,OSQP,optimal,0.3894689083099365,10875,7984222.321707349,7985452.8,467,823,6293,0,0.001225046,0.387406329,0.0,3,262.7879160651789
QSTANDAT,OSQP,optimal,0.4084491729736328,13275,6411.153879609188,6411.8384,1075,1434,5576,0,0.000664802,0.40704049,0.0,4,0.004332003104647837
S268,OSQP,optimal,0.0011310577392578125,25,0.45997679554420756,5.7310705e-07,5,10,55,0,1.9986e-05,6.6915e-05,0.0,0,0.002223201921597805
STADAT1,OSQP,solver_error,9.593859195709229,100000,-28699973.00454536,-28526864.0,2001,6000,13998,0,0.002129434,9.590923716,0.0,48,0.037458128708175366
STADAT2,OSQP,max_iter_reached,9.353479146957397,100000,-33.30712690882017,-32.626665,2001,6000,13998,0,0.002166802,9.350775819,0.0,47,0.2600984756323797
STADAT3,OSQP,max_iter_reached,18.934595108032227,100000,-37.1188837126856,-35.779453,4001,12000,27998,0,0.00489678,18.928966789,0.0,46,6.8648267741651186
STCQP1,OSQP,optimal,0.03542494773864746,50,155143.58000606278,155143.56,4097,6149,66544,0,0.01233478,0.020284161,0.0,1,6.244029199623143
STCQP2,OSQP,optimal,0.07427597045898438,75,22327.312949551848,22327.313,4097,6149,66544,0,0.021960375,0.049912749,0.0,1,12.793066851889694
TAME,OSQP,optimal,0.000553131103515625,25,0.0,0.0,2,3,8,0,1.1126e-05,2.3175e-05,0.0,0,0.00017830661232599306
UBH1,OSQP,optimal,22.602946043014526,38275,1.1160010336354786,1.1160008,18009,30009,72012,0,0.017519901,22.581978884,0.0,8,1.8229562645063323e-06
VALUES,OSQP,optimal,0.003780841827392578,150,-1.3962386407445178,-1.3966211,202,203,7846,0,0.000461564,0.002286001,0.0,1,0.7704156094279123
YAO,OSQP,solver_error,8.162446975708008,100000,8.423964337535665,197.70426,2002,4002,10004,0,0.001186739,8.160398859,0.0,3,53.82014466808286
ZECEVIC2,OSQP,optimal,0.0003840923309326172,50,-4.125178793970596,-4.125,2,4,7,0,1.4649e-05,3.0077e-05,0.0,0,0.33340390321216634
