tau,SCS-3.0,COSMO
250.26400964179192,0.98,0.84875
252.58200269627847,0.98,0.85
254.9214654451423,0.98125,0.85
257.28259674479324,0.98125,0.85
259.665597293487,0.98125,0.85
262.07066964838526,0.98125,0.85
264.498018242772,0.98125,0.85
266.9478494034321,0.98125,0.85
269.4203713681882,0.98125,0.85
271.9157943036019,0.98125,0.85
274.43433032283656,0.98125,0.85
276.9761935036891,0.98125,0.85
279.5415999067856,0.98125,0.85
282.1307675939471,0.98125,0.85
284.74391664672476,0.98125,0.85
287.38126918510665,0.98125,0.85
290.04304938639916,0.98125,0.85
292.7294835042816,0.98125,0.85
295.440799888038,0.98125,0.85
298.17722900196736,0.98125,0.85125
300.9390034449721,0.9825,0.85125
303.72635797033115,0.9825,0.85375
306.5395295056527,0.9825,0.85375
309.3787571730137,0.9825,0.85375
312.2442823092858,0.9825,0.85375
315.13634848664793,0.9825,0.85375
318.05520153329195,0.9825,0.85375
321.00108955431716,0.9825,0.85375
323.9742629528196,0.9825,0.855
326.9749744511768,0.9825,0.855
330.0034791125285,0.9825,0.855
333.06003436245885,0.9825,0.855
336.1449000108765,0.9825,0.855
339.2583382740992,0.9825,0.85625
342.40061379714257,0.9825,0.85625
345.57199367621394,0.9825,0.85625
348.77274748141775,0.98375,0.8575
352.00314727966787,0.98375,0.8575
355.2634676578139,0.98375,0.8575
358.5539857459817,0.98375,0.8575
361.874981241128,0.985,0.8575
365.22673643081754,0.985,0.86
368.6095362172158,0.985,0.86
372.0236681413066,0.985,0.8625
375.4694224073337,0.985,0.8625
378.94709190746676,0.985,0.86375
382.45697224669993,0.985,0.86375
385.9993617679767,0.985,0.86375
389.5745615775501,0.985,0.86375
393.18287557057704,0.985,0.86375
396.82461045694816,0.985,0.86375
400.5000757873611,0.985,0.865
404.20958397963057,0.985,0.865
407.9534503452449,0.985,0.865
411.7319931161679,0.985,0.865
415.54553347188755,0.985,0.865
419.39439556671863,0.985,0.865
423.27890655735484,0.985,0.865
427.19939663067765,0.985,0.865
431.15619903182284,0.985,0.865
435.149650092505,0.985,0.865
439.1800892596086,0.985,0.865
443.2478591240396,0.985,0.865
447.3533054498463,0.985,0.865
451.4967772036102,0.985,0.865
455.6786265841064,0.985,0.865
459.8992090522438,0.985,0.865
464.15888336127773,0.985,0.86625
468.4580115873045,0.985,0.86625
472.7969591600391,0.985,0.8675
477.17609489387456,0.985,0.86875
481.5957910192351,0.985,0.86875
486.0564232142134,0.985,0.87125
490.55837063650455,0.985,0.87125
495.1020159556351,0.985,0.8725
499.68774538548837,0.985,0.8725
504.3159487171359,0.985,0.8725
508.98701935196794,0.985,0.8725
513.7013543351344,0.985,0.87375
518.4593543892913,0.985,0.87375
523.2614239486662,0.985,0.87625
528.1079711934331,0.985,0.8775
532.9994080844087,0.985,0.87875
537.9361503980704,0.985,0.88
542.9186177618943,0.985,0.88125
547.9472336900287,0.985,0.8825
553.0224256192901,0.985,0.8825
558.144624945496,0.985,0.8825
563.3142670601358,0.985,0.88625
568.5317913873754,0.985,0.88625
573.7976414214133,0.985,0.88625
579.1122647641758,0.985,0.88625
584.4761131633632,0.985,0.88625
589.8896425508499,0.985,0.88625
595.353313081437,0.985,0.88625
600.8675891719687,0.985,0.8875
606.4329395408062,0.985,0.8875
612.0498372476696,0.985,0.8875
617.7187597338494,0.985,0.88875
623.4401888627864,0.985,0.88875
629.2146109610344,0.985,0.88875
635.0425168595962,0.985,0.88875
640.924401935645,0.985,0.88875
646.8607661546328,0.985,0.88875
652.8521141127848,0.985,0.89
658.898955079995,0.985,0.89125
665.0018030431119,0.985,0.89125
671.161176749628,0.985,0.89125
677.3775997517752,0.985,0.89125
683.6516004510238,0.985,0.8925
689.9837121430019,0.985,0.8925
696.3744730628222,0.985,0.895
