tau,SCS-3.0,OSQP,COSMO
141.30259905995337,1.0,1.0,0.999
142.61137071941283,1.0,1.0,0.999
143.93226447194064,1.0,1.0,0.999
145.26539259467813,1.0,1.0,0.999
146.61086840469844,1.0,1.0,0.999
147.96880626863964,1.0,1.0,0.999
149.33932161242518,1.0,1.0,0.999
150.72253093107557,1.0,1.0,0.999
152.1185517986105,1.0,1.0,0.999
153.52750287804227,1.0,1.0,0.999
154.94950393146317,1.0,1.0,0.999
156.3846758302246,1.0,1.0,0.999
157.8331405652118,1.0,1.0,0.999
159.29502125721228,1.0,1.0,0.999
160.77044216738236,1.0,1.0,0.999
162.25952870780873,1.0,1.0,0.999
163.76240745216873,1.0,1.0,0.999
165.27920614648954,1.0,1.0,0.999
166.81005372000593,1.0,1.0,0.999
168.35508029612024,1.0,1.0,0.999
169.9144172034626,1.0,1.0,0.999
171.48819698705393,1.0,1.0,0.999
173.07655341957258,1.0,1.0,0.999
174.67962151272457,1.0,1.0,0.999
176.29753752872057,1.0,1.0,0.999
177.93043899185773,1.0,1.0,0.999
179.5784647002095,1.0,1.0,0.999
181.24175473742378,1.0,1.0,0.999
182.92045048462938,1.0,1.0,0.999
184.61469463245476,1.0,1.0,0.999
186.324631193156,1.0,1.0,0.999
188.05040551285816,1.0,1.0,1.0
189.79216428391015,1.0,1.0,1.0
191.55005555735278,1.0,1.0,1.0
193.32422875550452,1.0,1.0,1.0
195.11483468466164,1.0,1.0,1.0
196.92202554791714,1.0,1.0,1.0
198.74595495809837,1.0,1.0,1.0
200.5867779508234,1.0,1.0,1.0
202.44465099768038,1.0,1.0,1.0
204.31973201952704,1.0,1.0,1.0
206.21218039991425,1.0,1.0,1.0
208.12215699863393,1.0,1.0,1.0
210.04982416539153,1.0,1.0,1.0
211.9953457536071,1.0,1.0,1.0
213.95888713434215,1.0,1.0,1.0
215.94061521035653,1.0,1.0,1.0
217.94069843029558,1.0,1.0,1.0
219.95930680300748,1.0,1.0,1.0
221.99661191199547,1.0,1.0,1.0
224.05278693000182,1.0,1.0,1.0
226.12800663372772,1.0,1.0,1.0
228.22244741868985,1.0,1.0,1.0
230.33628731421314,1.0,1.0,1.0
232.4697059985648,1.0,1.0,1.0
234.62288481422624,1.0,1.0,1.0
236.79600678330763,1.0,1.0,1.0
238.98925662310504,1.0,1.0,1.0
241.2028207618007,1.0,1.0,1.0
243.43688735431104,1.0,1.0,1.0
245.691646298279,1.0,1.0,1.0
247.96728925021577,1.0,1.0,1.0
250.26400964179192,1.0,1.0,1.0
252.58200269627847,1.0,1.0,1.0
254.9214654451423,1.0,1.0,1.0
257.28259674479324,1.0,1.0,1.0
259.665597293487,1.0,1.0,1.0
262.07066964838526,1.0,1.0,1.0
264.498018242772,1.0,1.0,1.0
266.9478494034321,1.0,1.0,1.0
269.4203713681882,1.0,1.0,1.0
271.9157943036019,1.0,1.0,1.0
274.43433032283656,1.0,1.0,1.0
276.9761935036891,1.0,1.0,1.0
279.5415999067856,1.0,1.0,1.0
282.1307675939471,1.0,1.0,1.0
284.74391664672476,1.0,1.0,1.0
287.38126918510665,1.0,1.0,1.0
290.04304938639916,1.0,1.0,1.0
292.7294835042816,1.0,1.0,1.0
295.440799888038,1.0,1.0,1.0
298.17722900196736,1.0,1.0,1.0
300.9390034449721,1.0,1.0,1.0
303.72635797033115,1.0,1.0,1.0
306.5395295056527,1.0,1.0,1.0
309.3787571730137,1.0,1.0,1.0
312.2442823092858,1.0,1.0,1.0
315.13634848664793,1.0,1.0,1.0
318.05520153329195,1.0,1.0,1.0
321.00108955431716,1.0,1.0,1.0
323.9742629528196,1.0,1.0,1.0
326.9749744511768,1.0,1.0,1.0
330.0034791125285,1.0,1.0,1.0
333.06003436245885,1.0,1.0,1.0
336.1449000108765,1.0,1.0,1.0
339.2583382740992,1.0,1.0,1.0
342.40061379714257,1.0,1.0,1.0
345.57199367621394,1.0,1.0,1.0
348.77274748141775,1.0,1.0,1.0
352.00314727966787,1.0,1.0,1.0
355.2634676578139,1.0,1.0,1.0
358.5539857459817,1.0,1.0,1.0
361.874981241128,1.0,1.0,1.0
365.22673643081754,1.0,1.0,1.0
368.6095362172158,1.0,1.0,1.0
372.0236681413066,1.0,1.0,1.0
375.4694224073337,1.0,1.0,1.0
