tau,SCS,OSQP,COSMO
34.79697903887691,1.0,1.0,0.597
35.1192753045073,1.0,1.0,0.597
35.44455673970434,1.0,1.0,0.597
35.77285099367874,1.0,1.0,0.597
36.10418597173337,1.0,1.0,0.597
36.43858983763545,1.0,1.0,0.597
36.77609101601033,1.0,1.0,0.597
37.11671819475765,1.0,1.0,0.597
37.46050032748993,1.0,1.0,0.597
37.80746663599349,1.0,1.0,0.597
38.15764661271248,1.0,1.0,0.597
38.511070023255705,1.0,1.0,0.597
38.867766908926654,1.0,1.0,0.597
39.22776758927719,1.0,1.0,0.597
39.591102664684584,1.0,1.0,0.597
39.957803018952696,1.0,1.0,0.597
40.32789982193707,1.0,1.0,0.597
40.701424532194366,1.0,1.0,0.597
41.078408899656466,1.0,1.0,0.597
41.45888496832911,1.0,1.0,0.597
41.84288507901582,1.0,1.0,0.597
42.23044187206674,1.0,1.0,0.597
42.62158829015323,1.0,1.0,0.597
43.01635758106795,1.0,1.0,0.597
43.41478330055092,1.0,1.0,0.597
43.816899315141924,1.0,1.0,0.597
44.22273980505899,1.0,1.0,0.597
44.63233926710395,1.0,1.0,0.597
45.04573251759459,1.0,1.0,0.597
45.462954695323994,1.0,1.0,0.597
45.88404126454759,1.0,1.0,0.598
46.30902801799739,1.0,1.0,0.598
46.73795107992461,1.0,1.0,0.598
47.17084690917017,1.0,1.0,0.598
47.607752302263684,1.0,1.0,0.598
48.048704396551315,1.0,1.0,0.598
48.493740673352356,1.0,1.0,0.598
48.94289896114529,1.0,1.0,0.598
49.396217438783204,1.0,1.0,0.598
49.853734638738935,1.0,1.0,0.598
50.31548945038054,1.0,1.0,0.598
50.78152112327673,1.0,1.0,0.598
51.2518692705333,1.0,1.0,0.598
51.72657387216019,1.0,1.0,0.598
52.205675278469755,1.0,1.0,0.598
52.689214213506744,1.0,1.0,0.598
53.17723177850969,1.0,1.0,0.598
53.66976945540476,1.0,1.0,0.598
54.16686911033152,1.0,1.0,0.598
54.66857299720181,1.0,1.0,0.598
55.17492376129126,1.0,1.0,0.598
55.68596444286412,1.0,1.0,0.598
56.20173848083188,1.0,1.0,0.598
56.72228971644544,1.0,1.0,0.598
57.247662397021784,1.0,1.0,0.598
